num,text,0,1,2,3,4,5,6,7,8,9
0,We may encounter many defeats but we must not be defeated.,0.195,0.0,0.12,0.17300000000000001,0.068,0.113,0.045,0.0,0.14300000000000002,0.14300000000000002
1,• 1000+ high qualitypatterns • 9 new social sizes,0.075,0.12,0.24100000000000002,0.068,0.045,0.113,0.14300000000000002,0.12,0.0,0.075
2,You are beautiful inside & out!,0.14300000000000002,0.075,0.195,0.17300000000000001,0.098,0.135,0.0,0.0,0.045,0.135
3,"If It Doesn’t Challenge You, It Doesn’t Change You.",0.15,0.09,0.113,0.24100000000000002,0.045,0.12,0.12,0.075,0.023,0.023
4,African Safari,0.023,0.24100000000000002,0.12,0.263,0.0,0.0,0.068,0.195,0.068,0.023
5,let's go explore!,0.132,0.125,0.145,0.21100000000000002,0.039,0.16399999999999998,0.079,0.02,0.02,0.066
6,10 Tomato Me Crazy Recipes,0.045,0.226,0.165,0.0,0.023,0.28600000000000003,0.023,0.0,0.165,0.068
7,Travel makes one modest. You see what a tiny place you occupy in the world.,0.105,0.125,0.342,0.02,0.0,0.191,0.059000000000000004,0.059000000000000004,0.099,0.0
8,Matt Talks Tech,0.125,0.237,0.289,0.0,0.0,0.11800000000000001,0.105,0.066,0.059000000000000004,0.0
9,Welcome to HK!,0.0,0.293,0.271,0.075,0.0,0.09,0.113,0.09,0.045,0.023
10,"Sometimes, the right path is not the easiest one.",0.053,0.175,0.132,0.14,0.026000000000000002,0.114,0.08800000000000001,0.053,0.079,0.14
11,Organic Symmetry,0.075,0.12,0.15,0.14300000000000002,0.075,0.158,0.0,0.12,0.023,0.135
12,Ladies Climbing Night,0.12,0.075,0.09,0.24100000000000002,0.045,0.188,0.0,0.0,0.075,0.165
13,CYBER MONDAY DEAL,0.135,0.195,0.316,0.045,0.0,0.165,0.045,0.023,0.075,0.0
14,Bold socks dIY for groomsmen,0.059000000000000004,0.132,0.23,0.086,0.02,0.191,0.105,0.039,0.079,0.059000000000000004
15,You are the best Mom ever!,0.045,0.12,0.09,0.271,0.068,0.045,0.045,0.075,0.12,0.12
16,Mood Board,0.02,0.263,0.132,0.105,0.066,0.138,0.138,0.039,0.059000000000000004,0.039
17,The obstacle is the path.,0.098,0.12,0.165,0.075,0.075,0.263,0.045,0.045,0.045,0.068
18,"I now know, by an almost fatalistic conformity with the facts, that my destiny is to travel...",0.14,0.228,0.281,0.026000000000000002,0.114,0.053,0.053,0.053,0.0,0.053
19,Makr & Hyde,0.098,0.045,0.316,0.17300000000000001,0.09,0.075,0.045,0.068,0.023,0.068
20,Throw like a “Girl”,0.132,0.105,0.079,0.184,0.059000000000000004,0.079,0.039,0.132,0.105,0.086
21,Jungle Vibes,0.098,0.12,0.09,0.218,0.0,0.075,0.233,0.14300000000000002,0.0,0.023
22,Holiday Toy Drive,0.075,0.113,0.0,0.14300000000000002,0.226,0.158,0.0,0.045,0.12,0.12
23,Orange you glad you came to the party?,0.053,0.307,0.105,0.35100000000000003,0.0,0.053,0.0,0.026000000000000002,0.105,0.0
24,Letterpress Design + Print Shop,0.098,0.271,0.12,0.12,0.0,0.165,0.09,0.09,0.023,0.023
25,Joshua Tree National Park,0.175,0.281,0.16699999999999998,0.114,0.0,0.053,0.026000000000000002,0.105,0.0,0.079
26,Free Delivery for Mother's Day,0.023,0.15,0.256,0.045,0.14300000000000002,0.098,0.045,0.12,0.075,0.045
27,But the answer is simple. Love is a mix tape.,0.08800000000000001,0.053,0.14,0.14,0.20199999999999999,0.193,0.0,0.026000000000000002,0.079,0.079
28,hello december,0.0,0.08800000000000001,0.316,0.228,0.105,0.026000000000000002,0.053,0.105,0.053,0.026000000000000002
